Text,Question Id,Test Id,Scale Id,Photo
"Младшим нравится, когда я предлагаю им свою идею, дело или развлечение.",58,51,,
Люди преувеличивают способность животных чувствовать настроение своих хозяев.,59,51,,
Из затруднительной конфликтной ситуации человек должен выходить самостоятельно.,60,51,,
"Если ребенок плачет, на это есть свои причины.",61,51,,
Молодежь должна удовлетворять любые просьбы и чудачества стариков.,62,51,,
"Мне хотелось разобраться, почему некоторые мои одноклассники иногда были задумчивы.",63,51,,
Беспризорных домашних животных следует отлавливать и уничтожать.,64,51,,
"Если мои друзья начинают обсуждать со мной свои личные проблемы, я стараюсь перевести разговор на другую тему.",65,51,L,
"Должен ли, на твой взгляд, быть улучшен окружающий мир?",66,39,,
"Стремишься ли ты, занимаясь незнакомым делом, достичь в нем совершенства?",67,39,,
"Сможешь ли ты по слогам, без ошибок повторить иностранное слово, услышанное тобой впервые?",68,39,,
"Отстаивая какую-либо идею, ты:",69,39,,
"Думаешь ли ты, что сможешь внести значительный вклад в изменение окружающего мира?",70,39,,
В свободное время ты предпочитаешь:,71,39,,
"Когда ты решаешься на какое-то действие, думаешь ли ты, что сможешь его осуществить?",72,39,,
"Ты легко сможешь сориентироваться на маршруте, пройденному лишь однажды?",73,39,,
Когда ты один:,74,39,,
"Считаешь ли ты, что в будущем будешь иметь такой вес в обществе, что сможешь что-то принципиально изменить?",75,39,,
"Ты прекращаешь заниматься каким-то делом, когда:",76,39,,
"Считаешь ли ты, что некоторые из твоих идей принесли бы значительный прогресс в той сфере деятельности, в которой ты работаешь?",77,39,,
"Испытываешь ли ты желание заняться каким-либо новым, незнакомым делом?",78,39,,
"Если тебя заинтересует незнакомое дело, захочется ли тебе узнать о нем все?",79,39,,
"Когда какая-то идея захватывает тебя, то ты думаешь о ней:",80,39,,
"По-твоему, профессию надо выбирать, учитывая, в первую очередь:",81,39,,
Сразу же после какой-то беседы сможешь ли ты вспомнить в подробностях ее содержание?,82,39,,
"Потерпев неудачу, ты:",83,39,,
"Полезно читать книги, в которых содержатся мысли, противоположные моим собственным.",84,29,,
"Меня раздражает, когда отвлекают от важной работы (например, просят совета).",85,29,,
Праздники нужно отмечать с родственниками.,86,29,,
"Я могу быть в дружеских отношениях с людьми, чьи поступки я одобряю.",87,29,,
В игре я предпочитаю выигрывать.,88,29,L,
"Когда я опаздываю куда-нибудь, я не в состоянии думать ни о чем другом, кроме как скорее доехать.",89,29,,
"Мне труднее сосредоточиться, чем другим.",90,29,,
"Я много времени уделяю тому, чтобы все вещи лежали на своих местах.",91,29,,
Я очень напряженно работаю.,92,29,,
Неприличные шутки редко вызывают у меня смех.,93,29,L,
"Уверен(а), что за моей спиной обо мне говорят.",94,29,,
Меня легко переспорить.,95,29,,
Я предпочитаю ходить известными маршрутами.,96,29,,
"Всю свою жизнь я строго следую принципам, основанным на чувстве долга.",97,29,,
"Временами мои мысли проносятся быстрее, чем я успеваю их высказать.",98,29,,
"Бывает, что чья-то нелепая оплошность вызывает у меня смех.",99,29,L,
"Бывает, что мне в голову приходят плохие слова, часто даже ругательства, и я не могу никак от них избавиться.",100,29,L,
"Я уверен(а), что в мое отсутствие обо мне говорят.",101,29,,
"Я спокойно выхожу из дома, не беспокоясь о том, заперта ли дверь, выключен ли свет, газ и т. п",102,29,,
Самое трудное для меня в любом деле — это начало.,103,29,,
Я практически всегда сдерживаю свои обещания.,104,29,L,
"Нельзя строго осуждать человека, нарушающего формальные правила.",105,29,,
"Мне часто приходилось выполнять распоряжения людей, гораздо меньше знающих, чем я.",106,29,,
Я не всегда говорю правду.,107,29,L,
Мне трудно сосредоточиться на какой-либо задаче или работе.,108,29,,
Кое-кто настроен против меня.,109,29,,
Я люблю доводить начатое до конца.,110,29,,
"Я всегда стараюсь не откладывать на завтра то, что можно сделать сегодня.",111,29,L,
"Когда я иду или еду по улице, я часто подмечаю изменения в окружающей обстановке — подстриженные кусты, новые рекламные щиты и т. п.",112,29,,
"Иногда я так настаиваю на своем, что люди теряют терпение.",113,29,,
Иногда знакомые подшучивают над моей аккуратностью и педантичностью.,114,29,,
"Если я не прав(а), я не сержусь.",115,29,L,
"Обычно меня настораживают люди, которые относятся ко мне дружелюбнее, чем я ожидал.",116,29,,
Мне трудно отвлечься от начатой работы даже ненадолго.,117,29,,
"Когда я вижу, что меня не понимают, я легко
отказываюсь от намерения доказать что-либо.",118,29,,
В трудные моменты я умею позаботиться о других,119,29,L,
"В трудные моменты мной овладевает тяга к перемене мест, и я счастлив(а), когда брожу где-нибудь или путешествую.",120,29,,
"Мне нелегко переключиться на новое дело, но потом, разобравшись, я справлюсь с ним лучше других.",121,29,,
"Мне нравится детально изучать то, чем я занимаюсь.",122,29,,
"Мать или отец заставляли меня подчиняться даже тогда, когда я считал это неразумным.",123,29,,
Я умею быть спокойным/ой и даже немного равнодушным/ой при виде чужого несчастья.,124,29,L,
Я легко переключаюсь с одного дела на другое.,125,29,,
Из всех мнений по спорному вопросу только одно действительно является верным.,126,29,,
Я люблю доводить свои умения и навыки до автоматизма.,127,29,,
Меня легко увлечь новыми затеями.,128,29,,
Я пытаюсь добиться своего наперекор обстоятельствам.,129,29,,
"Во время монотонной работы я начинаю изменять способ действия, даже если это порой ухудшает результат.",130,29,,
Люди порой завидуют моему терпению и дотошности.,131,29,,
"На улице, в транспорте я часто разглядываю людей.",132,29,,
"Если бы люди не были настроены против меня, я бы достиг(ла) в жизни гораздо большего.",133,29,,
Тебе предстоит ординарная или деловая встреча. Выбивает ли тебя ее ожидание из колеи?,134,32,,
"Вызывает ли у тебя смятение и неудовольствие поручение выступить с докладом, сообщением, информацией на каком либо совещании, собрании или тому подомном мероприятии?",135,32,,
Не откладываешь ли ты визит к врачу до последнего момента?,136,32,,
"Тебе предлагают выехать в командировку в город, где ты никогда не бывал(а). Приложишь ли ты максимум усилий, чтобы избежать этой командировки?",137,32,,
Любишь ли ты делиться своими переживаниями с кем бы то ни было?,138,32,,
"Раздражаешься ли ты, если незнакомый человек на улице обратится к тебе с просьбой (показать дорогу, назвать время, ответить на какой-то вопрос)?",139,32,,
"Веришь ли ты, что существует проблема «отцов и детей» и что людям разных поколений трудно понимать друг друга?",140,32,,
"Постесняешься ли ты напомнить знакомому, что он забыл тебе вернуть деньги, которые занял несколько месяцев назад?",141,32,,
"В ресторане либо в столовой тебе подали явно недоброкачественное блюдо. Промолчишь ли ты, лишь рассерженно отодвинув тарелку?",142,32,,
"Оказавшись один на один с незнакомым человеком ты, не вступишь с ним в беседу и будешь тяготиться, если первым заговорит он. Так ли это?",143,32,,
"Тебя приводит в ужас любая длинная очередь, где бы она не была (в магазине, библиотеке, кассе, кинотеатре). Предпочитаешь ли ты отказаться от своего намерения, только для того, чтобы не стоять в очереди, в долгом ожидании",144,32,,
Боишься ли ты участвовать в какой-либо комиссии по рассмотрению конфликтных ситуаций?,145,32,,
"У тебя есть собственные сугубо индивидуальные критерии оценки произведений литературы, искусства, культуры и никаких чужих мнений на этот счет ты не приемлешь. Это так?",146,32,,
"Представь, что ты услышал(а) где-то в помещении или коридоре высказывание явно ошибочной точки зрения по хорошо известному тебе вопросу, вступишь ли ты в разговор?",147,32,,
Вызывает ли у тебя досаду чья-либо просьба помочь разобраться в том или ином служебном вопросе или учебной теме?,148,32,,
"Охотнее ли ты излагаешь свою точку зрения (мнение, оценку) в письменной форме, чем в устной?",149,32,,
"Меня огорчает, когда вижу, что незнакомый человек чувствует себя среди других людей одиноко.",150,54,,
"Мне неприятно, когда люди не умеют сдерживаться и открыто проявляют свои чувства.",151,54,,
"Когда кто-то рядом со мной нервничает, я тоже начинаю нервничать",152,54,,
"Я считаю, что плакать от счастья глупо.",153,54,,
Я близко к сердцу принимаю проблемы своих друзей.,154,54,,
Иногда песни о любви вызывают у меня много чувств.,155,54,,
"Я бы сильно волновался/ась, если бы должен/на был(а) сообщить человеку неприятное для него известие.",156,54,,
На моё настроение очень влияют окружающие люди.,157,54,,
"Мне хотелось бы получить профессию, связанную с общением с людьми.",158,54,,
"Мне очень нравится наблюдать, как люди принимают подарки.",159,54,,
"Когда я вижу плачущего человека, то и сам(a) расстраиваюсь.",160,54,,
"Слушая некоторые песни, я порой чувствую себя счастливой/ым.",161,54,,
"Когда я читаю книгу (роман, повесть и т.п.), то так переживаю, как будто всё, о чем читаю, происходит на самом деле.",162,54,,
"Когда я вижу, что с кем-то плохо обращаются, то всегда сержусь.",163,54,,
"Я могу оставаться спокойной/ым, даже если все вокруг волнуются.",164,54,,
"Мне неприятно, когда люди при просмотре кинофильма вздыхают и плачут.",165,54,,
"Когда я принимаю решение, отношение других людей к нему, как правило, роли не играет.",166,54,,
"Я теряю душевное спокойствие, когда окружающие чем-то угнетены.",167,54,,
"Я переживаю, если вижу людей, легко расстраивающихся из-за пустяков.",168,54,,
"Я очень расстраиваюсь, когда вижу страдания животных.",169,54,,
"Глупо переживать по поводу того, что происходит в кино или о чем читаешь в книге.",170,54,,
"Я очень расстраиваюсь, когда вижу беспомощных старых людей.",171,54,,
"Я очень переживаю, когда смотрю фильм.",172,54,,
Я могу остаться равнодушным/ой к любому волнению вокруг.,173,54,,
Маленькие дети плачут без причины.,174,54,,
Мне кажется трудным искусство подражать привычкам других людей.,175,34,,
"Я бы, пожалуй, мог(ла) свалять дурака, чтобы привлечь внимание или позабавить окружающих.",176,34,,
Из меня мог(ла) бы выйти неплохой/ая актер/актриса.,177,34,,
"Другим людям иногда кажется, что я переживаю что-то более глубоко, чем это есть на самом деле.",178,34,,
В компании я редко оказываюсь в центре внимания.,179,34,,
В разных ситуациях и в общении с разными людьми я часто веду себя совершенно по-разному.,180,34,,
"Я могу отстаивать только то, в чем я искренне убежден/на.",181,34,,
"Чтобы преуспеть в делах и в отношениях с людьми, я стараюсь быть таким/ой, каким/ой меня ожидают видеть.",182,34,,
"Я могу быть дружелюбным с людьми, которых я не выношу.",183,34,,
"Я не всегда такой/ая, каким кажусь.",184,34,,
"Ты считаешь, что у тебя возникла интересная идея, но ее не поддержали. Расстроишься?",185,46,,
"Ты встречаешься с друзьями, и кто-то предлагает начать игру. Что ты предпочтешь?",186,46,,
Спокойно ли воспримишь неприятную для тебя новость?,187,46,,
"Раздражают ли тебя люди, которые в общественных местах появляются нетрезвыми?",188,46,,
"Можешь ли ты легко найти контакт с людьми с иными, чем у тебя, профессией, положением, обычаями?",189,46,,
"Как ты реагируешь на шутку, объектом которой становишься?",190,46,,
"Согласен/на ли ты с мнением, что многие люди сидят не на своем месте, делают не свое дело?",191,46,,
"Ты приводишь в компанию друга (подругу), который становится объектом всеобщего внимания. Как ты на это реагируешь?",192,46,,
"В гостях ты встречаешь пожилого человека, который критикует современное молодое поколение, превозносит былые времена. Как ты реагируешь ?",193,46,,
Я могу долго работать без устали.,194,38,,
"Я всегда выполняю то, что обещаю, независимо от испытываемых в связи с этим неудобств.",195,38,L,
"Как правило, руки и ноги у меня теплые.",196,38,,
Я редко страдаю от головных болей.,197,38,,
Я уверен(а) в своих силах.,198,38,,
Ожидание раздражает меня.,199,38,,
Иногда я сам(а) себе кажусь ни на что не годным.,200,38,,
В большинстве случаев я чувствую себя вполне счастливым.,201,38,,
Мне трудно сосредоточиться на каком-то одном предмете.,202,38,,
В детстве я с готовностью выполнял(а) все данные мне поручения.,203,38,L,
Не реже одного раза в месяц я страдаю от расстройства желудка.,204,38,,
Я часто испытываю тревогу по какому-нибудь поводу.,205,38,,
"Я не считаю себя более нервным(ой), чем большинство людей.",206,38,,
Я не застенчив(а).,207,38,,
Жизнь для меня почти всегда связана с большим напряжением.,208,38,,
"Иногда бывает, что я говорю о вещах, в которых не разбираюсь.",209,38,L,
"Я краснею не чаще, чем другие.",210,38,,
Я часто расстраиваюсь из-за пустяков.,211,38,,
Я редко замечаю у себя сердцебиение и отдышку.,212,38,,
"Не все люди, которых я знаю, мне нравятся.",213,38,L,
"Я не могу уснуть, если меня что-то тревожит.",214,38,,
"Обычно я спокоен/на, и меня нелегко расстроить.",215,38,,
Меня часто мучают ночные кошмары.,216,38,,
Я склонен/на все принимать всерьез.,217,38,,
"Когда я нервничаю, у меня усиливается потливость.",218,38,,
У меня беспокойный и прерывистый сон.,219,38,,
"В играх я предпочитаю скорее выигрывать, чем проигрывать.",220,38,L,
"Я более чувствителен/на, чем большинство других людей.",221,38,,
"Бывает, что нескромные шутки и остроты вызывают у меня смех.",222,38,L,
"Я хотел(а) бы быть так же доволен/на жизнью, как, вероятно, довольны другие.",223,38,,
Мой желудок сильно беспокоит меня.,224,38,,
Я постоянно озабочен(а) своими материальными и служебными делами.,225,38,,
"Я настороженно отношусь к некоторым людям, хотя знаю, что они не могут причинить мне вреда.",226,38,,
"Мне порой кажется, что передо мной нагромождены такие трудности, которых мне не преодолеть.",227,38,,
Я легко прихожу в замешательство.,228,38,,
"Временами я становлюсь настолько возбужденным(ой), что это мешает мне заснуть.",229,38,,
Я предпочитаю уклоняться от конфликтов и затруднительных положений.,230,38,,
У меня бывают приступы тошноты и рвоты.,231,38,,
Я никогда не опаздываю на свидания или работу.,232,38,,
Временами я определенно чувствую себя ненужным/ой.,233,38,,
Иногда мне хочется выругаться.,234,38,L,
Почти всегда я испытываю тревогу в связи с чем-либо или с кем-либо.,235,38,,
Меня беспокоят возможные неудачи.,236,38,,
"Я часто боюсь, что вот-вот покраснею.",237,38,,
Меня нередко охватывает отчаяние.,238,38,,
Я – человек нервный и легко возбудимый.,239,38,,
"Я часто замечаю, что мои руки дрожат, когда я пытаюсь что-нибудь сделать.",240,38,,
Я почти всегда испытываю чувство голода.,241,38,,
Мне не хватает уверенности в себе.,242,38,,
Я легко потею даже в прохладные дни.,243,38,,
"Я часто мечтаю о таких вещах, о которых лучше никому не рассказывать.",244,38,L,
У меня очень редко болит живот.,245,38,,
"Я считаю, что мне очень трудно сосредоточиться на какой-либо задаче или работе.",246,38,,
"У меня бывают периоды такого сильного беспокойства, что я не могу долго усидеть на одном месте.",247,38,,
Я всегда отвечаю на письма сразу же после прочтения.,248,38,L,
Я легко расстраиваюсь.,249,38,,
Я практически никогда не краснею.,250,38,,
"У меня гораздо меньше различных опасений и страхов, чем у моих друзей и знакомых.",251,38,,
"Бывает, что я откладываю на завтра то, что следует сделать сегодня.",252,38,L,
Обычно я работаю с большим напряжением.,253,38,,
"Беспокоюсь сильно, когда не знаю, что делать, попадая в непривычную для меня ситуацию.",254,55,,
Сильно переживаю критику других людей обо мне.,255,55,,
"Боюсь, что могу глупо выглядеть.",256,55,,
"Я часто обращаю внимание на свои неудачи, и не замечаю своих успехов.",257,55,,
"Я часто критикую себя и других, отношусь к себе и другим жестко.",258,55,,
"Как правило, я чувствую, что у меня депрессия и психическое истощение.",259,55,,
Мои фоновые ощущения - беспокойство и страх.,260,55,,
"Уверен(а) в том, что люди относится ко мне несправедливо совершенно заслуженно.",261,55,,
Мир для меня враждебен и опасен. Людям я не доверяю.,262,55,,
"Очень часто виню себя, что все делаю неправильно.",263,55,,
"Постоянно переживаю о том, хорошо ли я выгляжу.",264,55,,
Мне очень тяжело сказать «нет» другим людям.,265,55,,
Постоянно ожидаю критики и недовольства других людей.,266,55,,
"Мне страшно ошибиться, так чтоб это заметили другие.",267,55,,
"Если я что-то не сделал(а) вовремя, испытываю ужасный дискомфорт.",268,55,,
Боюсь что-то менять из-за страха совершить ошибку.,269,55,,
"Я всегда очень сильно защищаюсь с сильными эмоциями, когда кто- то меня критикует.",270,55,,
"Не знаю, могу ли чего-то добиться в жизни, не знаю своих способностей.",271,55,,
"Решения принимаю поспешно, в страхах и сомнениях по поводу выбора.",272,55,,
Часто жду чего-то плохого.,273,55,,
"Во время секса не могу расслабиться, чувствую напряжение и дискомфорт.",274,55,,
"Рассказываю о себе лишнее, больше чем надо, или, наоборот, что не надо говорю.",275,55,,
"Часто так сильно волнуюсь, что не могу сказать ни слова.",276,55,,
"Обычно в течении нескольких дней после принятия решения сомневаюсь, правильно ли оно, и очень переживаю об этом.",277,55,,
"Избегаю конфликтов, и боюсь их.",278,55,,
"Другие часто мне говорят, что я слишком чувствительный/ая.",279,55,,
"Иногда чувствую, что я полное ничтожество.",280,55,,
"Думаю, что со мной что-то не в порядке.",281,55,,
Я часто в ущерб себе помогаю другим.,282,55,,
Постоянно занимаюсь сравнением себя с другими.,283,55,,
Часто думаю очень негативно о других и о себе.,284,55,,
"Чувствую, что меня пытаются использовать, относятся ко мне плохо.",285,55,,
"Постоянно прокручиваю в голове кто мне что сказал/сделал, и что я сказал(а)/сделал(а) другим.",286,55,,
"Я не занимаюсь своим здоровьем, и не слежу за собой как нужно.",287,55,,
"Боюсь сказать, сколько стоят мои услуги. Всегда соглашаюсь работать за маленькие деньги.",288,55,,
"Не верю, что у меня есть какие-то уникальные способности и таланты.",289,55,,
"Вру иногда, когда думаю, что меня начнут критиковать и осуждать за правду.",290,55,,
"Могу, когда боюсь показаться некомпетентным или глупым.",291,55,,
У меня нет никаких конкретных целей на год.,292,55,,
"Я живу там, где нет порядка.",293,55,,
"Часто не могу разобраться, что я чувствую.",294,55,,
Родители часто ругали меня за плохое поведение и ошибки.,295,55,,
"Считаю, что моя жизнь намного тяжелее, чем у остальных людей вокруг меня.",296,55,,
"Чтобы не чувствовать страх, иногда ухожу от ситуаций.",297,55,,
"Слишком много времени трачу на то, чтоб я и все остальное выглядело идеально.",298,55,,
"Не могу быть наедине с собой, мне нужно постоянно заполнять пустоту общением и делами.",299,55,,
Слова и дела других людей - основная причина злости.,300,55,,
"Мне сложно сконцентрироваться, когда я переживаю, не могу ничего делать в таком состоянии.",301,55,,
"Мне не повезло с мужем/женой, родителями, страной, работой, образованием.",302,55,,
Чтобы принять решение мне обязательно нужно узнать мнение других людей.,303,55,,
"Задумываешься ли ты, какие причины заставляют тебя создавать что-либо новое?",304,30,,
Бывают ли у тебя неприятности из-за собственного любопытства?,305,30,,
Возникает ли у тебя желание оригинально усовершенствовать хорошую вещь?,306,30,,
"Мечтаешь ли ты приобрести известность, создав что-либо социально новое?",307,30,,
В ситуациях риска ты доверяешь интуиции?,308,30,,
"Ты считаешь, что в конфликтных ситуациях возможно избежать эмоциональных переживаний?",309,30,,
"Отвечаешь ли ты шуткой, если тебя разыгрывают?",310,30,,
"Если представится случай, ты поменяешь работу на более оплачиваемую, но менее творческую?",311,30,,
Ты продумываешь последствия принимаемого тобой решения?,312,30,,
"Познание нового перестает быть любопытным для тебя, если оно связано с риском?",313,30,,
Приходилось ли тебе удачно использовать вещи не по назначению?,314,30,,
"Бывает ли так, что когда ты рассказываешь о каком-нибудь подлинном случае, то прибегаешь к вымышленным подробностям?",315,30,,
"В экстремальных ситуациях ты чаще прислушиваешься к голосу разума, чем к интуиции?",316,30,,
Доставляет ли тебе эмоциональное удовлетворение процесс творческой деятельности?,317,30,,
Любишь ли ты шутить и смеяться над собой?,318,30,,
Изобретал(а) ли ты что-то новое в интересующей тебя сфере деятельности?,319,30,,
"Утомляет ли тебя работа, требующая творческого мышления в нестандартных ситуациях?",320,30,,
"Отмечают ли окружающие, что ты во все вникаешь?",321,30,,
Является ли редким твое увлечение?,322,30,,
"Бывает ли, что у тебя возникают необычные образы, связанные с реальными событиями?",323,30,,
"Ты иногда предчувствуешь, кто звонит тебе по телефону, еще не сняв трубку?",324,30,,
Равнодушен ли ты к отрицательным проявлениям эмоций чужих детей?,325,30,,
Смеешься ли ты над своими неудачами?,326,30,,
"Посещал(а) бы ты ради новых знаний специальные занятия, даже если это связано с неудобствами?",327,30,,
"Достаточно ли для тебя мелкой детали, намека на проблему, чтобы увлечься ее разработкой?",328,30,,
На философские детские вопросы ты нашёл/ла ответы в зрелом возрасте?,329,30,,
"Испытываешь ли ты потерю интереса к оригинальным, рискованным предложениям твоих партнеров по работе?",330,30,,
"Фантазируешь ли ты сейчас, как бы ты жил(а) в другом городе или в другом веке?",331,30,,
Тебе трудно предвидеть последствия предстоящего события?,332,30,,
Ты чувствуешь эмоциональный подъем и вдохновение в начале нового дела?,333,30,,
"Бывает ли так, что ты заранее готовил(а) шутку или шутливые истории с целью развеселить компанию?",334,30,,
"Утомляют ли тебя неожиданности в профессиональной деятельности, требующие новых выходов из создавшейся ситуации?",335,30,,
"Ты продумываешь варианты решения трудных проблем, прежде чем сделаешь выбор наиболее продуктивного?",336,30,,
"Когда ты долго не познаешь новое, тебя мучает чувство неудовлетворенности?",337,30,,
"Ты любишь работу, требующую смекалки, даже если она связана с трудностями реализации?",338,30,,
"Сталкиваясь с необычными проблемами, ты предвидишь перспективы их решения?",339,30,,
"Снился ли тебе когда-нибудь сон, который предсказал произошедшие потом события?",340,30,,
"Сочувствуешь ли ты людям, которые не достигли желаемого результата в творчестве?",341,30,,
Используешь ли ты юмор для выхода из затруднительных ситуаций?,342,30,,
Ты выбирал(а) профессию с учетом своих творческих возможностей?,343,30,,
Тебе трудно продумать многие отрицательные последствия конфликтной проблемы?,344,30,,
Сможешь ли ты рискнуть карьерой ради познания нового?,345,30,,
"Будешь ли ты заниматься созданием чего-то необычного, если это связано с какими-то трудностями?",346,30,,
"Тебе трудно представить незнакомое место, в которое ты стремишься попасть?",347,30,,
"Случалось ли так, что ты вспомнил(а) о человеке, с которым давно не встречался/ась, а потом вдруг неожиданно он позвонил или написал тебе письмо?",348,30,,
Сочувствуешь ли ты обманутому человеку?,349,30,,
"Бывает ли так, что ты сам(а) придумываешь анекдоты и смешные истории?",350,30,,
"Если ты лишишься возможности работать, то жизнь для тебя потеряет интерес?",351,30,,
Основательно ли ты продумываешь все этапы своей творческой деятельности?,352,30,,
"Хочется ли тебе порой разобрать вещь, для того чтобы узнать, как она работает?",353,30,,
Ты импровизируешь в процессе реализации уже разработанного плана действия?,354,30,,
Ты сочиняешь сказки детям?,355,30,,
"Бывает ли так, что ты по каким-то необъяснимым причинам не доверяешь некоторым людям?",356,30,,
"Ты склонен/на сильно переживать, если тебя обманули?",357,30,,
"Раздражает ли тебя шутка, выраженная в форме иронии?",358,30,,
"Ты чувствуешь, что твоя профессия позволит улучшить окружающий мир?",359,30,,
"Думаешь ли ты, какие тайные причины скрыты в творческой деятельности человека?",360,30,,
"Интересует ли тебя, как живут соседи?",361,30,,
Предпочитаешь ли ты общаться с людьми с необычными взглядами?,362,30,,
"Фантазировал(а) ли ты когда-нибудь о том, что можно было бы сделать, получив наследство?",363,30,,
Тебе трудно определить характер человека с первого взгляда?,364,30,,
Ты сочувствуешь нищим людям?,365,30,,
Считают ли тебя окружающие остроумным человеком?,366,30,,
В твоем профессиональном творчестве было много неудач?,367,30,,
Ты размышляешь о причинах успехов и неудач в своей творческой деятельности?,368,30,,
"Если ты встречаешь непонятное новое слово, то узнаёшь его смысл в справочниках?",369,30,,
"Интересуют ли тебя люди, которые придерживаются только традиционных взглядов на жизнь?",370,30,,
Пишешь ли ты стихи?,371,30,,
"Глядя на знакомого человека, тебе трудно предугадать, как сложится его жизнь?",372,30,,
Ты редко выражаешь свои эмоции при уличных скандалах?,373,30,,
Трудно ли тебе с юмором выйти из затруднительной ситуации?,374,30,,
"Можешь ли ты в своей работе пойти на риск, если шансы на успех не гарантированы?",375,30,,
Достоверно ли ты восстанавливаешь по случайным деталям целостный результат?,376,30,,
Пытался/ась ли ты проследить генеалогическое древо жизни?,377,30,,
"Если бы твои знакомые знали, о чем ты мечтаешь, то считал бы тебя чудаком?",378,30,,
Тебе трудно представить себя в старости?,379,30,,
"Бывает ли так, что ты опасаешься идти на встречу с незнакомым человеком из-за интуитивного беспокойства?",380,30,,
"Наблюдая драматическое событие в жизни людей, чувствуешь ли ты, что это происходило с тобой?",381,30,,
Предпочитаешь ли ты комедию всем остальным жанрам?,382,30,,
Обязательно ли творчество должно сопутствовать профессиональной деятельности?,383,30,,
