Id,Name,Native Name,Language,Priority
135,Кирунди,kirundi,RU,5
136,румынский,romanian,RU,5
137,русский,russian,RU,5
138,киньяруанда,kinyarwanda,RU,5
139,санскрит (самскрта),sanskrit (saṁskṛta),RU,5
140,сардинский,sardinian,RU,5
141,синдхи,sindhi,RU,5
142,северные саамы,northern sami,RU,5
143,санго,sango,RU,5
144,"сингальский, сингальский","sinhala, sinhalese",RU,5
145,словацкий,slovak,RU,5
146,словенский,slovene,RU,5
147,самоанец,samoan,RU,5
148,шона,shona,RU,5
149,сомалийский,somali,RU,5
150,албанский,albanian,RU,5
151,сербский,serbian,RU,5
152,Свати,swati,RU,5
153,южный сото,southern sotho,RU,5
154,суданский,sundanese,RU,5
155,шведский,swedish,RU,5
156,суахили,swahili,RU,5
157,тамильский,tamil,RU,5
158,телугу,telugu,RU,5
159,таджикский,tajik,RU,5
160,тайский,thai,RU,5
161,тигринья,tigrinya,RU,5
162,туркменский,turkmen,RU,5
163,тагальский,tagalog,RU,5
164,тсвана,tswana,RU,5
165,Тонга (острова Тонга),tonga (tonga islands),RU,5
166,турецкий,turkish,RU,5
167,цонга,tsonga,RU,5
168,татарин,tatar,RU,5
169,два дня,twi,RU,5
170,таитянский,tahitian,RU,5
171,"уйгур, уйгур","uyghur, uighur",RU,5
172,украинец,ukrainian,RU,5
173,урду,urdu,RU,5
174,узбекский,uzbek,RU,5
175,венда,venda,RU,5
176,вьетнамский,vietnamese,RU,5
177,волапюк,volapük,RU,5
178,валлонский,walloon,RU,5
179,волоф,wolof,RU,5
180,коса,xhosa,RU,5
181,идиш,yiddish,RU,5
182,йоруба,yoruba,RU,5
183,"zhuang, chuang","zhuang, chuang",RU,5
184,Китайский,chinese,RU,5
185,зулусский,zulu,RU,5
